time,open,high,low,close,tick_volume,spread,real_volume
2026-03-31 18:00:00,1.15202,1.15328,1.15107,1.15172,9334,0,0
2026-03-31 19:00:00,1.15172,1.15595,1.15139,1.15404,10837,0,0
2026-03-31 20:00:00,1.15404,1.15566,1.15379,1.15398,9969,0,0
2026-03-31 21:00:00,1.15397,1.15507,1.1537600000000001,1.15446,5985,0,0
2026-03-31 22:00:00,1.15446,1.15597,1.15385,1.15588,4437,0,0
2026-03-31 23:00:00,1.15588,1.15633,1.1552,1.15527,2599,2,0
2026-04-01 00:00:00,1.15519,1.15551,1.15417,1.15551,850,7,0
2026-04-01 01:00:00,1.15551,1.15595,1.15525,1.15586,1321,0,0
2026-04-01 02:00:00,1.15586,1.15744,1.15567,1.15736,1532,0,0
2026-04-01 03:00:00,1.15736,1.15788,1.15692,1.15744,2905,0,0
2026-04-01 04:00:00,1.15744,1.15755,1.15546,1.15617,4211,0,0
2026-04-01 05:00:00,1.15617,1.1571,1.15605,1.15686,2480,0,0
2026-04-01 06:00:00,1.15686,1.15686,1.15584,1.15605,1930,1,0
2026-04-01 07:00:00,1.15605,1.15663,1.15591,1.15652,1563,2,0
2026-04-01 08:00:00,1.15653,1.15763,1.15633,1.15676,3063,0,0
2026-04-01 09:00:00,1.1568,1.15928,1.15619,1.15912,7233,0,0
2026-04-01 10:00:00,1.15912,1.1598600000000001,1.1577,1.15821,7932,0,0
2026-04-01 11:00:00,1.15821,1.16106,1.15766,1.15965,7485,0,0
2026-04-01 12:00:00,1.15965,1.16026,1.15796,1.15953,5926,0,0
2026-04-01 13:00:00,1.15954,1.16035,1.15931,1.15995,4615,0,0
2026-04-01 14:00:00,1.15995,1.16099,1.15974,1.16074,3917,0,0
2026-04-01 15:00:00,1.16074,1.16235,1.15937,1.16044,8711,0,0
2026-04-01 16:00:00,1.16044,1.16237,1.15981,1.1612,10459,0,0
2026-04-01 17:00:00,1.1612,1.16268,1.16043,1.16223,10241,0,0
2026-04-01 18:00:00,1.16223,1.16271,1.16048,1.16136,6369,0,0
2026-04-01 19:00:00,1.16136,1.1619,1.16041,1.16188,4764,0,0
2026-04-01 20:00:00,1.16188,1.16234,1.1592500000000001,1.15939,4547,0,0
2026-04-01 21:00:00,1.15939,1.15943,1.15756,1.15789,5262,0,0
2026-04-01 22:00:00,1.15789,1.15871,1.15761,1.15838,3649,0,0
2026-04-01 23:00:00,1.1583700000000001,1.15918,1.1583,1.15892,1729,1,0
2026-04-02 00:00:00,1.15878,1.15912,1.15804,1.15899,1621,3,0
2026-04-02 01:00:00,1.15899,1.15942,1.15891,1.15909,1147,0,0
2026-04-02 02:00:00,1.15909,1.15945,1.15882,1.15896,1009,0,0
2026-04-02 03:00:00,1.15897,1.15978,1.15867,1.15955,2917,0,0
2026-04-02 04:00:00,1.15955,1.16055,1.15455,1.15525,13303,0,0
2026-04-02 05:00:00,1.15525,1.15603,1.15436,1.15468,5381,0,0
2026-04-02 06:00:00,1.15467,1.15489,1.15372,1.15397,2905,0,0
2026-04-02 07:00:00,1.15397,1.15419,1.15314,1.15369,2675,0,0
2026-04-02 08:00:00,1.15368,1.15389,1.15247,1.15252,3184,0,0
2026-04-02 09:00:00,1.15252,1.15354,1.15146,1.15343,5114,0,0
2026-04-02 10:00:00,1.15343,1.15378,1.15187,1.15324,5603,0,0
2026-04-02 11:00:00,1.15324,1.15357,1.15237,1.15251,3772,0,0
2026-04-02 12:00:00,1.15251,1.15319,1.15217,1.15256,3233,0,0
2026-04-02 13:00:00,1.15256,1.15268,1.15097,1.15121,3755,0,0
2026-04-02 14:00:00,1.15121,1.15194,1.15087,1.15175,3924,0,0
2026-04-02 15:00:00,1.15175,1.15313,1.1516899999999999,1.15244,5734,0,0
2026-04-02 16:00:00,1.15244,1.1532499999999999,1.152,1.15311,6805,0,0
